_id,area,baths_count,building_floors,date,district,flat_floor,neighborhood,price,rooms_count,warming_type
60bdd16cd34df1b74c794654,105 m2,Eşyalı Değil,13 Katlı,3 Gün Önce,Beylikdüzü,7. Kat,Büyükşehir,560.000 TL,4,Kombi
60bdd16fd34df1b74c794655,140 m2,Eşyalı Değil,4 Katlı,6 Gün Önce,Beşiktaş,2. Kat,Balmumcu,2.000.000 TL,4,Kombi
60bdd172d34df1b74c794656,85 m2,Eşyalı Değil,4 Katlı,2 Gün Önce,Esenler,1. Kat,Fatih,434.000 TL,3,Kombi
60bdd178d34df1b74c794657,110 m2,Uygun,6 Katlı,6 Gün Önce,Bahçelievler,4. Kat,Şirinevler,685.000 TL,3,Kombi
60bdd17ad34df1b74c794658,130 m2,Eşyalı Değil,17 Katlı,7 Gün Önce,Kağıthane,6. Kat,Seyrantepe,2.550.000 TL,4,Merkezi
60bdd17dd34df1b74c794659,150 m2,Uygun,9 Katlı,3 Gün Önce,Kadıköy,2. Kat,Bostancı,1.745.000 TL,4,Kombi
60bdd180d34df1b74c79465a,110 m2,Uygun,5 Katlı,2 Gün Önce,Üsküdar,Giriş Katı,Çengelköy,670.000 TL,3,Merkezi
60bdd182d34df1b74c79465b,65 m2,Eşyalı Değil,7 Katlı,2 Gün Önce,Kağıthane,Kot 2,Ortabayır,235.000 TL,2,Kombi
60bdd186d34df1b74c79465c,150 m2,8 Katlı,null,Dün,Kadıköy,1. Kat,Bostancı,1.375.000 TL,4,Kombi
60bdd18cd34df1b74c79465d,100 m2,Eşyalı Değil,4 Katlı,5 Gün Önce,Fatih,4. Kat,Seyyid Ömer,560.000 TL,3,Kombi
60bdd18fd34df1b74c79465e,140 m2,Uygun,5 Katlı,7 Gün Önce,Kadıköy,3. Kat,Göztepe,1.420.000 TL,4,Merkezi
60bdd192d34df1b74c79465f,326 m2,Uygun,4 Katlı,6 Gün Önce,Bakırköy,4. Kat,Yeşilyurt,6.500.000 TL,6,Kombi
60bdd195d34df1b74c794660,350 m2,Eşyalı Değil,5 Katlı,3 Gün Önce,Beşiktaş,2. Kat,Ulus,13.000.000 TL,5,Merkezi
60bdd197d34df1b74c794661,65 m2,Uygun,4 Katlı,3 Gün Önce,Maltepe,Giriş Katı,Altıntepe,440.000 TL,2,Kombi
60bdd19ad34df1b74c794662,80 m2,Eşyalı Değil,4 Katlı,7 Gün Önce,Ümraniye,3. Kat,Namık Kemal,575.000 TL,3,Kombi
60bdd19dd34df1b74c794663,145 m2,Uygun,8 Katlı,5 Gün Önce,Kadıköy,8. Kat,Suadiye,2.450.000 TL,4,Kombi
60bdd19fd34df1b74c794664,135 m2,Eşyalı Değil,4 Katlı,4 Gün Önce,Maltepe,Giriş Katı,Küçükyalı,675.000 TL,4,Kombi
60bdd1a2d34df1b74c794665,100 m2,Uygun,4 Katlı,5 Gün Önce,Esenyurt,1. Kat,Güzelyurt,319.000 TL,3,Kombi
60bdd1a4d34df1b74c794666,220 m2,Merkezi,null,3 Gün Önce,Sarıyer,Bahçe Katı,Tarabya,7.750.000 TL,5,null
60bdd1a8d34df1b74c794667,135 m2,Eşyalı Değil,4 Katlı,5 Gün Önce,Büyükçekmece,2. Kat,Fatih,910.000 TL,4,Kombi
60bdd1aad34df1b74c794668,70 m2,Eşyalı Değil,3 Katlı,3 Gün Önce,Küçükçekmece,Bahçe Katı,Yeşilova,225.000 TL,2,Kombi
60bdd1add34df1b74c794669,185 m2,Eşyalı Değil,16 Katlı,4 Gün Önce,Beylikdüzü,7. Kat,Adnan Kahveci,880.000 TL,4,Kombi
60bdd1b0d34df1b74c79466a,105 m2,Eşyalı Değil,13 Katlı,3 Gün Önce,Beylikdüzü,7. Kat,Büyükşehir,560.000 TL,4,Kombi
